observation_date,EMVMACROBUS,EMVMACROBUS_%change
1/1/1996,0.30112,0.2188
1/1/1997,0.38048,0.2636
1/1/1998,0.55234,0.4517
1/1/1999,0.34474,-0.3759
1/1/2000,0.35,0.0152
1/1/2001,0.88285,1.5224
1/1/2002,0.97678,0.1064
1/1/2003,0.72769,-0.2550
1/1/2004,0.25408,-0.6508
1/1/2005,0.29338,0.1547
1/1/2006,0.24584,-0.1620
1/1/2007,0.41098,0.6717
1/1/2008,0.24959,-0.3927
1/1/2009,0.16756,-0.3286
1/1/2010,0.26874,0.6038
1/1/2011,0.34488,0.2833
1/1/2012,0.32754,-0.0503
1/1/2013,0.34844,0.0638
1/1/2014,0.18689,-0.4636
1/1/2015,0.3082,0.6491
1/1/2016,0.38345,0.2442
1/1/2017,0.38759,0.0108
1/1/2018,0.70731,0.8249
1/1/2019,1.34322,0.8991
1/1/2020,0.45992,-0.6576
1/1/2021,0.10497,-0.7718
