observation_date,LOCOCIORNZQ665S,LOCOCIORNZQ665S_%change
1/1/1996,121.1,-0.0208
1/1/1997,111.2,-0.0820
1/1/1998,100.9,-0.0920
1/1/1999,116.3,0.1523
1/1/2000,109.7,-0.0567
1/1/2001,118.3,0.0782
1/1/2002,120.1,0.0150
1/1/2003,120,-0.0004
1/1/2004,125.2,0.0435
1/1/2005,119.3,-0.0473
1/1/2006,111.7,-0.0639
1/1/2007,113.2,0.0132
1/1/2008,96.1,-0.1509
1/1/2009,109.8,0.1429
1/1/2010,114.1,0.0392
1/1/2011,105.8,-0.0727
1/1/2012,103.9,-0.0182
1/1/2013,115.7,0.1141
1/1/2014,118.6,0.0248
1/1/2015,111.8,-0.0571
1/1/2016,109.2,-0.0237
1/1/2017,111.3,0.0192
1/1/2018,108.1,-0.0285
1/1/2019,105.1,-0.0280
1/1/2020,100.6,-0.0424
1/1/2021,103.5,0.0288
