observation_date,MICH,MICH_%change
1/1/1996,3,0.0113
1/1/1997,2.9,-0.0447
1/1/1998,2.5,-0.1374
1/1/1999,2.7,0.1153
1/1/2000,3,0.0851
1/1/2001,2.4,-0.1821
1/1/2002,2.5,0.0274
1/1/2003,2.5,-0.0100
1/1/2004,3,0.1953
1/1/2005,3.3,0.1296
1/1/2006,3.2,-0.0349
1/1/2007,3.2,-0.0026
1/1/2008,4.1,0.2720
1/1/2009,2.6,-0.3727
1/1/2010,2.8,0.0844
1/1/2011,3.6,0.3054
1/1/2012,3.3,-0.1032
1/1/2013,3.1,-0.0460
1/1/2014,3.1,-0.0054
1/1/2015,2.7,-0.1159
1/1/2016,2.5,-0.0823
1/1/2017,2.6,0.0299
1/1/2018,2.8,0.0871
1/1/2019,2.6,-0.0712
1/1/2020,2.7,0.0224
1/1/2021,4.2,0.5625
