observation_date,D10NINC_PCH,D10WACBS_PCH,D10WSHOSNB_PCH,D10TAST_PCH,D10FFSSP_PCH,D10WATAL_PCH,D10WSHOBL_PCH,D10WSRLL_PCH,D10URN_PCH
1984-04-01,94.3,,,2.4,-7.9,,,,
1984-07-01,43.7,,,0.6,-6.9,,,,
1984-10-01,5.9,,,5.0,35.1,,,,
1985-01-01,-70.1,,,-2.2,-15.7,,,,
1985-04-01,81.8,,,1.1,3.9,,,,
1985-07-01,37.9,,,1.0,2.0,,,,
1985-10-01,-16.1,,,3.9,41.0,,,,
1986-01-01,-77.5,,,-1.8,-3.9,,,,
1986-04-01,121.8,,,-1.9,-10.6,,,,
1986-07-01,20.2,,,0.7,-3.5,,,,
1986-10-01,-19.3,,,3.9,28.4,,,,
1987-01-01,-31.9,,,-2.9,-15.4,,,,
1987-04-01,44.1,,,-0.6,-8.0,,,,
1987-07-01,78.1,,,-1.8,-16.1,,,,
1987-10-01,8.3,,,2.7,13.9,,,,
1988-01-01,-50.4,,,-1.8,2.6,,,,
1988-04-01,83.3,,,0.5,-10.3,,,,
1988-07-01,49.0,,,0.5,3.6,,,,
1988-10-01,19.4,,,2.4,0.1,,,,
1989-01-01,-60.7,,,-1.4,-3.6,,,,
1989-04-01,101.8,,,1.3,10.3,,,,
1989-07-01,51.0,,,1.1,13.5,,,,
1989-10-01,22.2,,,3.3,8.7,,,,
1990-01-01,-73.6,,,-0.6,-8.9,,,,#N/A
1990-04-01,63.8,,,2.6,8.8,,,,-11.4
1990-07-01,53.2,,,0.2,-2.7,,,,0.7
1990-10-01,29.5,,,3.3,4.0,,,,0.5
1991-01-01,-65.0,,,-1.2,-2.1,,,,20.8
1991-04-01,105.2,,,0.3,-9.3,,,,-9.7
1991-07-01,48.2,,,2.1,4.3,,,,-4.4
1991-10-01,26.8,,,3.1,8.8,,,,-1.3
1992-01-01,-65.4,,,0.6,0.5,,,,18.9
1992-04-01,99.0,,,-0.4,-20.9,,,,-8.1
1992-07-01,40.3,,,0.6,1.5,,,,-3.4
1992-10-01,43.8,,,3.9,23.5,,,,-4.6
1993-01-01,-67.1,,,-1.4,-22.1,,,,18.0
1993-04-01,87.2,,,1.1,-20.1,,,,-9.1
1993-07-01,51.3,,,2.0,11.8,,,,-5.7
1993-10-01,30.5,,,2.7,20.3,,,,-5.8
1994-01-01,-74.4,,,0.6,-20.7,,,,15.8
1994-04-01,102.9,,,1.1,-23.2,,,,-14.4
1994-07-01,52.8,,,0.6,10.7,,,,-4.8
1994-10-01,31.1,,,2.4,4.7,,,,-8.9
1995-01-01,-75.1,,,-0.5,-6.2,,,,13.5
1995-04-01,105.7,,,1.8,10.8,,,,-6.6
1995-07-01,58.3,,,1.1,-6.4,,,,-1.9
