observation_date,D10NINC_PCH,DR10TAST_PCH,D10LFN_PCH,D10QWATLLNUI_PCH,RESPPALTF10NWW_PCH,D10WUPSHO_PCH,D10WSHOMCB_PCH,D10WSHOL_PCH,D10WLOCL_PCH,,observation_date,D10ROA_PCH,D10LSTL_PCH,D10ROE_PCH
1984-04-01,94.3,1.9,,2.2,,,,,,,1984-04-01,-4.5,21.8,-4.5
1984-07-01,43.7,0.9,,1.0,,,,,,,1984-07-01,-4.8,8.5,-4.9
1984-10-01,5.9,4.8,,1.1,,,,,,,1984-10-01,-21.3,26.1,-20.9
1985-01-01,-70.1,-4.5,,4.6,,,,,,,1985-01-01,15.9,-11.0,16.9
1985-04-01,81.8,0.5,,-0.6,,,,,,,1985-04-01,-9.6,14.7,-9.3
1985-07-01,37.9,2.1,,0.1,,,,,,,1985-07-01,-7.6,6.1,-8.6
1985-10-01,-16.1,3.6,,-0.4,,,,,,,1985-10-01,-37.7,27.4,-36.9
1986-01-01,-77.5,-1.2,,1.1,,,,,,,1986-01-01,-13.2,-21.0,-10.7
1986-04-01,121.8,-2.0,,-2.5,,,,,,,1986-04-01,15.2,24.1,11.5
1986-07-01,20.2,-0.6,,-0.8,,,,,,,1986-07-01,-21.1,2.6,-19.6
1986-10-01,-19.3,3.6,,-2.0,,,,,,,1986-10-01,-36.7,14.9,-39.0
1987-01-01,-31.9,-2.6,,0.9,,,,,,,1987-01-01,157.9,-33.3,168.9
1987-04-01,44.1,-0.4,,-0.6,,,,,,,1987-04-01,-28.6,4.5,-28.1
1987-07-01,78.1,-1.5,,-0.7,,,,,,,1987-07-01,22.9,0.6,18.5
1987-10-01,8.3,2.7,,-0.3,,,,,,,1987-10-01,-18.6,7.4,-18.5
1988-01-01,-50.4,-1.5,,0.3,,,,,,,1988-01-01,97.1,-40.2,98.0
1988-04-01,83.3,0.4,,-0.1,,,,,,,1988-04-01,-8.7,12.5,-8.9
1988-07-01,49.0,0.8,,0.2,,,,,,,1988-07-01,-1.6,0.0,-1.1
1988-10-01,19.4,-0.1,,-0.3,,,,,,,1988-10-01,-9.7,11.1,-10.2
1989-01-01,-60.7,-0.9,,2.8,,,,,,,1989-01-01,53.6,-32.3,54.3
1989-04-01,101.8,1.0,,-0.7,,,,,,,1989-04-01,1.2,12.5,0.9
1989-07-01,51.0,1.4,,0.2,,,,,,,1989-07-01,1.1,0.0,-0.5
1989-10-01,22.2,3.5,,0.2,,,,,,,1989-10-01,-9.1,12.1,-8.2
1990-01-01,-73.6,-0.3,#N/A,3.4,,,,,,,1990-01-01,1.3,-35.1,1.7
1990-04-01,63.8,2.9,1.5,-0.2,,,,,,,1990-04-01,-18.5,27.8,-18.6
1990-07-01,53.2,0.3,0.9,0.5,,,,,,,1990-07-01,1.5,3.3,1.3
1990-10-01,29.5,3.8,-0.5,0.6,,,,,,,1990-10-01,-4.5,15.8,-3.3
1991-01-01,-65.0,-2.2,-1.0,3.3,,,,,,,1991-01-01,35.9,-33.6,36.7
1991-04-01,105.2,-3.9,1.6,-1.2,,,,,,,1991-04-01,3.4,8.2,2.2
1991-07-01,48.2,1.5,0.6,0.1,,,,,,,1991-07-01,-2.2,10.1,-2.3
1991-10-01,26.8,3.1,-0.6,-2.0,,,,,,,1991-10-01,-3.4,11.5,-3.7
1992-01-01,-65.4,0.2,-0.3,4.5,,,,,,,1992-01-01,30.6,-53.6,28.7
1992-04-01,99.0,-0.6,1.8,-0.8,,,,,,,1992-04-01,0.0,20.0,-0.9
1992-07-01,40.3,0.7,0.9,0.4,,,,,,,1992-07-01,-7.2,42.6,-7.4
1992-10-01,43.8,-1.4,-0.4,-2.0,,,,,,,1992-10-01,9.7,-7.8,8.2
1993-01-01,-67.1,-4.1,-0.2,5.4,,,,,,,1993-01-01,24.8,-57.7,22.9
1993-04-01,87.2,-1.6,1.8,-0.8,,,,,,,1993-04-01,-5.7,13.3,-6.4
1993-07-01,51.3,1.1,1.2,-0.7,,,,,,,1993-07-01,2.3,2.9,1.1
1993-10-01,30.5,0.8,0.0,2.0,,,,,,,1993-10-01,-3.7,25.7,-3.7
1994-01-01,-74.4,0.1,0.2,10.2,,,,,,,1994-01-01,-4.6,-68.2,-5.2
1994-04-01,102.9,0.6,1.4,1.1,,,,,,,1994-04-01,1.6,64.3,1.6
1994-07-01,52.8,0.2,1.1,1.7,,,,,,,1994-07-01,1.6,4.3,1.5
1994-10-01,31.1,2.4,0.5,1.6,,,,,,,1994-10-01,-2.3,16.7,-1.7
1995-01-01,-75.1,-1.1,-0.3,7.5,,,,,,,1995-01-01,-4.0,-3.6,-2.6
1995-04-01,105.7,0.2,1.1,2.0,,,,,,,1995-04-01,2.5,3.7,0.3
1995-07-01,58.3,1.0,0.7,1.2,,,,,,,1995-07-01,5.6,10.7,4.7
1995-10-01,32.0,3.1,-0.2,0.9,,,,,,,1995-10-01,-1.5,16.1,-2.1
1996-01-01,-73.9,-7.6,-0.5,5.1,,,,,,,1996-01-01,0.8,-5.6,-1.9
1996-04-01,110.2,0.8,1.4,0.8,,,,,,,1996-04-01,4.6,8.8,4.4
1996-07-01,51.2,1.9,0.6,0.0,,,,,,,1996-07-01,0.7,10.8,1.5
1996-10-01,31.0,2.7,0.0,-0.9,,,,,,,1996-10-01,0.0,19.5,-0.6
1997-01-01,-74.5,1.7,-0.3,8.6,,,,,,,1997-01-01,-5.8,-14.3,-12.2
1997-04-01,77.5,-0.8,1.4,-15.2,,,,,,,1997-04-01,3.1,2.4,5.6
1997-07-01,47.6,1.8,1.0,-3.2,,,,,,,1997-07-01,2.3,4.7,7.0
1997-10-01,34.5,3.2,0.1,0.6,,,,,,,1997-10-01,0.0,11.1,0.7
1998-01-01,-71.8,1.2,-0.1,10.2,,,,,,,1998-01-01,3.7,-24.0,3.3
1998-04-01,102.8,0.9,1.4,0.0,,,,,,,1998-04-01,0.7,5.3,0.8
1998-07-01,50.0,0.4,0.7,0.3,,,,,,,1998-07-01,-0.7,10.0,-0.8
