observation_date,D10NINC_PCH,D10WLDACI_PCH,D10WCPIL_PCH,D10WAML2L_PCH,D10TLLNUI_PCH,D10IBTEIOA_PCH
1984-04-01,94.3,,,,3.4,95.3
1984-07-01,43.7,,,,1.4,40.7
1984-10-01,5.9,,,,2.1,-4.2
1985-01-01,-70.1,,,,0.1,-66.8
1985-04-01,81.8,,,,0.5,81.3
1985-07-01,37.9,,,,0.2,36.8
1985-10-01,-16.1,,,,-0.2,-25.1
1986-01-01,-77.5,,,,-1.0,-73.5
1986-04-01,121.8,,,,-2.2,113.8
1986-07-01,20.2,,,,-0.7,21.5
1986-10-01,-19.3,,,,0.5,-42.5
1987-01-01,-31.9,,,,-2.7,6.7
1987-04-01,44.1,,,,0.5,45.5
1987-07-01,78.1,,,,-0.8,75.0
1987-10-01,8.3,,,,1.0,11.4
1988-01-01,-50.4,,,,-1.5,-53.3
1988-04-01,83.3,,,,1.3,88.7
1988-07-01,49.0,,,,0.6,52.1
1988-10-01,19.4,,,,2.0,19.5
1989-01-01,-60.7,,,,-1.1,-59.5
1989-04-01,101.8,,,,1.3,97.3
1989-07-01,51.0,,,,0.9,49.3
1989-10-01,22.2,,,,1.8,22.8
1990-01-01,-73.6,,,,-1.2,-73.2
1990-04-01,63.8,,,,2.1,58.5
1990-07-01,53.2,,,,0.4,54.3
1990-10-01,29.5,,,,2.6,31.3
1991-01-01,-65.0,,,,-0.3,-64.0
1991-04-01,105.2,,,,-0.7,105.1
1991-07-01,48.2,,,,1.0,49.4
1991-10-01,26.8,,,,1.6,24.9
1992-01-01,-65.4,,,,-0.8,-64.7
1992-04-01,99.0,,,,1.1,101.2
1992-07-01,40.3,,,,1.4,43.5
1992-10-01,43.8,,,,1.6,38.9
1993-01-01,-67.1,,,,0.0,-69.6
1993-04-01,87.2,,,,4.1,96.4
1993-07-01,51.3,,,,2.9,55.0
1993-10-01,30.5,,,,2.8,31.6
1994-01-01,-74.4,,,,0.7,-73.4
1994-04-01,102.9,,,,5.0,103.9
1994-07-01,52.8,,,,2.6,52.9
1994-10-01,31.1,,,,3.7,30.7
1995-01-01,-75.1,,,,2.0,-74.9
1995-04-01,105.7,,,,3.4,106.1
1995-07-01,58.3,,,,2.5,58.9
1995-10-01,32.0,,,,1.5,32.0
1996-01-01,-73.9,,,,0.4,-73.9
1996-04-01,110.2,,,,3.3,105.7
1996-07-01,51.2,,,,1.9,52.5
1996-10-01,31.0,,,,2.3,31.7
1997-01-01,-74.5,,,,-0.2,-73.7
1997-04-01,77.5,,,,-12.7,73.1
1997-07-01,47.6,,,,-1.7,45.4
1997-10-01,34.5,,,,5.3,34.0
1998-01-01,-71.8,,,,1.1,-71.9
1998-04-01,102.8,,,,2.2,102.9
1998-07-01,50.0,,,,0.9,49.0
1998-10-01,24.3,,,,1.2,24.0
1999-01-01,-73.9,,,,0.8,-74.1
1999-04-01,109.6,,,,4.4,109.6
1999-07-01,53.6,,,,3.5,53.8
1999-10-01,32.9,,,,1.2,32.5
2000-01-01,-78.3,,,,2.5,-78.8
2000-04-01,123.1,,,,4.1,126.5
2000-07-01,46.5,,,,2.1,45.8
2000-10-01,35.5,,,,2.7,35.9
2001-01-01,-72.5,,,,1.1,-72.4
2001-04-01,98.8,,,,1.6,98.2
2001-07-01,48.0,,,,0.0,47.3
2001-10-01,33.4,,,,1.2,33.6
2002-01-01,-72.0,,,,-0.4,-72.0
2002-04-01,103.7,,,,0.3,102.3
2002-07-01,47.7,,,,-0.5,46.5
2002-10-01,30.6,#N/A,#N/A,#N/A,1.6,30.6
2003-01-01,-74.9,#N/A,#N/A,#N/A,0.4,-75.3
2003-04-01,97.4,6.2,-2.4,#N/A,0.3,97.0
2003-07-01,41.3,9.5,-2.5,#N/A,-0.3,42.2
2003-10-01,18.0,-9.6,-5.9,#N/A,-6.2,16.2
2004-01-01,-72.7,0.4,-14.4,#N/A,-1.4,-72.7
2004-04-01,96.7,-16.8,-2.3,#N/A,0.8,96.1
2004-07-01,52.4,-1.3,-0.9,#N/A,3.1,50.7
2004-10-01,30.8,22.5,-0.7,#N/A,1.9,30.4
2005-01-01,-71.3,0.2,3.4,#N/A,1.8,-71.7
2005-04-01,101.0,15.5,0.7,#N/A,3.4,104.0
2005-07-01,52.0,29.4,6.6,#N/A,2.7,51.9
2005-10-01,30.4,-5.4,3.9,#N/A,1.7,30.6
2006-01-01,-74.4,-5.3,2.6,#N/A,2.0,-74.4
2006-04-01,105.1,-5.1,-1.8,#N/A,0.8,105.2
2006-07-01,51.8,-11.1,0.2,#N/A,1.8,51.1
2006-10-01,30.6,11.7,0.7,#N/A,2.0,30.8
2007-01-01,-74.8,-20.7,1.8,#N/A,1.2,-74.8
2007-04-01,107.6,11.7,2.9,#N/A,2.9,105.2
2007-07-01,53.1,-32.6,2.9,#N/A,2.4,52.5
2007-10-01,19.8,-18.2,0.7,#N/A,2.4,20.3
2008-01-01,-70.7,-3.7,3.0,#N/A,2.2,-70.7
2008-04-01,57.8,24.7,3.7,#N/A,2.7,54.4
2008-07-01,16.9,-27.1,3.3,#N/A,0.9,19.9
2008-10-01,3.2,-40.4,-1.1,#N/A,0.8,5.3
2009-01-01,-80.6,13.5,2.0,#N/A,-1.0,-82.0
2009-04-01,104.7,18.6,-1.8,#N/A,-1.8,100.9
2009-07-01,34.1,-0.1,0.3,#N/A,-1.8,40.0
2009-10-01,10.1,-20.7,0.5,#N/A,-1.8,12.1
2010-01-01,-33.3,-15.2,-0.7,#N/A,1.5,-28.8
2010-04-01,47.1,-18.8,1.7,#N/A,-0.7,46.0
2010-07-01,53.8,6.3,-0.1,#N/A,-0.8,49.9
2010-10-01,28.6,2.2,8.3,#N/A,-0.8,31.5
2011-01-01,-63.2,2.4,11.9,#N/A,-2.1,-64.5
2011-04-01,99.1,-25.2,0.9,#N/A,0.2,99.3
2011-07-01,55.8,-7.0,0.3,#N/A,-0.4,55.0
2011-10-01,24.9,-12.2,1.2,#N/A,0.9,22.2
2012-01-01,-68.5,-35.9,2.2,#N/A,-0.6,-68.7
2012-04-01,101.8,-23.8,1.3,#N/A,0.9,102.6
2012-07-01,51.3,-14.3,1.1,#N/A,1.6,50.7
2012-10-01,26.8,-66.3,0.8,#N/A,2.7,27.2
