observation_date,D10NINC_PCH,D10WFCDA_PCH,D10WLAD_PCH,D10TLLFRN_PCH,D10WLDEP_PCH,D10WABPL_PCH,D10WAOAL_PCH,D10IBB_PCH,D10NINC_PCH,D10WARAL_PCH,D10WLTOTL_PCH,,observation_date,D10NPTL_PCH
1984-04-01,94.3,,,8.0,,,,-8.5,94.3,,,,1984-04-01,-1.2
1984-07-01,43.7,,,13.1,,,,0.2,43.7,,,,1984-07-01,6.4
1984-10-01,5.9,,,3.8,,,,13.8,5.9,,,,1984-10-01,-0.3
1985-01-01,-70.1,,,12.3,,,,-7.0,-70.1,,,,1985-01-01,11.8
1985-04-01,81.8,,,7.0,,,,10.0,81.8,,,,1985-04-01,3.3
1985-07-01,37.9,,,6.7,,,,-0.3,37.9,,,,1985-07-01,7.0
1985-10-01,-16.1,,,-3.3,,,,10.1,-16.1,,,,1985-10-01,-6.3
1986-01-01,-77.5,,,17.1,,,,12.9,-77.5,,,,1986-01-01,16.6
1986-04-01,121.8,,,-6.0,,,,8.9,121.8,,,,1986-04-01,-1.7
1986-07-01,20.2,,,7.6,,,,15.6,20.2,,,,1986-07-01,6.1
1986-10-01,-19.3,,,-5.0,,,,12.6,-19.3,,,,1986-10-01,-8.0
1987-01-01,-31.9,,,-1.9,,,,0.8,-31.9,,,,1987-01-01,0.7
1987-04-01,44.1,,,-1.4,,,,-4.3,44.1,,,,1987-04-01,-2.9
1987-07-01,78.1,,,-5.7,,,,-7.0,78.1,,,,1987-07-01,-4.8
1987-10-01,8.3,,,-7.9,,,,7.3,8.3,,,,1987-10-01,-10.5
1988-01-01,-50.4,,,-1.5,,,,5.5,-50.4,,,,1988-01-01,0.5
1988-04-01,83.3,,,-4.7,,,,-1.6,83.3,,,,1988-04-01,-6.9
1988-07-01,49.0,,,-0.4,,,,-5.0,49.0,,,,1988-07-01,-1.4
1988-10-01,19.4,,,-10.0,,,,-1.1,19.4,,,,1988-10-01,-12.1
1989-01-01,-60.7,,,1.2,,,,-15.1,-60.7,,,,1989-01-01,2.0
1989-04-01,101.8,,,-9.5,,,,0.3,101.8,,,,1989-04-01,-7.7
1989-07-01,51.0,,,-4.3,,,,-0.7,51.0,,,,1989-07-01,-3.1
1989-10-01,22.2,,,-9.2,,,,4.5,22.2,,,,1989-10-01,-12.9
1990-01-01,-73.6,,,2.2,,,,-8.9,-73.6,,,,1990-01-01,5.8
1990-04-01,63.8,,,-0.6,,,,-9.0,63.8,,,,1990-04-01,-5.5
1990-07-01,53.2,,,-3.9,,,,-6.8,53.2,,,,1990-07-01,-2.9
1990-10-01,29.5,,,-1.1,,,,6.4,29.5,,,,1990-10-01,-4.7
1991-01-01,-65.0,,,-2.7,,,,-5.8,-65.0,,,,1991-01-01,-0.4
1991-04-01,105.2,,,-0.7,,,,-14.5,105.2,,,,1991-04-01,-3.1
1991-07-01,48.2,,,3.1,,,,-11.7,48.2,,,,1991-07-01,4.2
1991-10-01,26.8,,,-5.2,,,,1.5,26.8,,,,1991-10-01,-9.8
1992-01-01,-65.4,,,0.2,,,,2.8,-65.4,,,,1992-01-01,3.9
1992-04-01,99.0,,,-3.1,,,,-19.8,99.0,,,,1992-04-01,-7.6
1992-07-01,40.3,,,-7.5,,,,-0.3,40.3,,,,1992-07-01,-7.7
1992-10-01,43.8,,,-19.7,,,,-12.4,43.8,,,,1992-10-01,-16.7
1993-01-01,-67.1,,,-5.9,,,,-14.9,-67.1,,,,1993-01-01,-4.7
1993-04-01,87.2,,,34.9,,,,-8.8,87.2,,,,1993-04-01,21.0
1993-07-01,51.3,,,4.6,,,,70.4,51.3,,,,1993-07-01,3.5
1993-10-01,30.5,,,-11.7,,,,9.8,30.5,,,,1993-10-01,-13.4
1994-01-01,-74.4,,,-3.7,,,,-5.3,-74.4,,,,1994-01-01,-1.9
1994-04-01,102.9,,,-12.5,,,,-14.9,102.9,,,,1994-04-01,-15.8
1994-07-01,52.8,,,-7.0,,,,-29.5,52.8,,,,1994-07-01,-6.3
1994-10-01,31.1,,,-10.9,,,,-21.6,31.1,,,,1994-10-01,-15.0
1995-01-01,-75.1,,,-2.9,,,,-2.2,-75.1,,,,1995-01-01,-3.9
