DATE,FEDFUNDS_PCH,UNRATE_PCH,CPILFESL_PCH,GDPC1_PCH,PAYEMS_PCH,PCEPI_PCH,CPIAUCSL_PCH,AMTMNO_PCH,ANXAVS_PCH,ANXAUO_PCH,FEDFUNDS
1/1/1996,-6.23543,-0.5988,0.67512,0.74897,0.42931,0.55619,0.88918,-1.18356,-1.54483,1.37501,5.363333333
4/1/1996,-2.23741,-0.60241,0.58931,1.66788,0.66424,0.66934,0.85985,3.01429,3.09828,0.02431,5.243333333
7/1/1996,1.20788,-4.24242,0.64646,0.89701,0.61689,0.42622,0.57545,0.6222,0.53464,1.57947,5.306666667
10/1/1996,-0.50251,1.26582,0.64231,1.0384,0.5948,0.68115,0.86883,1.91868,3.51104,0.46249,5.28
1/1/1997,-0.06313,-1.875,0.57838,0.64556,0.62271,0.44185,0.60924,0.82551,1.05057,0.37469,5.276666667
4/1/1997,4.67467,-4.4586,0.63454,1.66198,0.71721,0.25029,0.22969,2.03334,4.27018,0.9879,5.523333333
7/1/1997,0.18105,-2.66667,0.4335,1.25078,0.5829,0.264,0.5,2.00114,3.59434,3.56545,5.533333333
10/1/1997,-0.48193,-4.10959,0.56896,0.85874,0.79072,0.31338,0.53897,1.39123,1.09159,2.81021,5.506666667
1/1/1998,0.24213,-0.71429,0.60476,0.99938,0.61146,0.00802,0.20619,-1.39442,0.85456,1.02094,5.52
4/1/1998,-0.36232,-5.03597,0.56234,0.92582,0.63201,0.18047,0.32922,-0.38366,0.06735,-0.97548,5.5
7/1/1998,0.60606,3.0303,0.59776,1.25276,0.56683,0.30959,0.51272,-0.63556,-0.85768,0.92475,5.533333333
10/1/1998,-12.16867,-2.20588,0.55588,1.61619,0.60079,0.2634,0.46929,0.46241,1.52189,0.33331,4.86
1/1/1999,-2.60631,-3.00752,0.43843,0.94383,0.59406,0.19725,0.36556,2.18593,-0.54808,1.20563,4.733333333
4/1/1999,0.28169,-0.77519,0.47447,0.835,0.63664,0.56852,0.74868,-0.07319,2.34635,1.07328,4.746666667
7/1/1999,7.30337,-0.78125,0.5289,1.32303,0.585,0.54995,0.74312,2.65372,1.76364,1.96518,5.093333333
10/1/1999,4.18848,-3.93701,0.5637,1.64278,0.68424,0.60761,0.73764,2.3467,-0.48775,4.56121,5.306666667
1/1/2000,6.97236,-0.81967,0.65396,0.36445,0.59017,0.8122,0.98951,0.68259,1.76097,4.53141,5.676666667
4/1/2000,10.51086,-2.47934,0.63115,1.82058,0.59153,0.47642,0.78385,3.48662,3.3433,2.32043,6.273333333
7/1/2000,3.93199,1.69492,0.66408,0.09977,0.19316,0.64421,0.91386,-2.2646,0.93058,3.69048,6.52
10/1/2000,-0.71575,-2.5,0.60473,0.59436,0.20085,0.56561,0.71291,-1.11589,0.06373,0.19456,6.473333333
1/1/2001,-13.59423,8.54701,0.7286,-0.32422,0.15543,0.74102,0.95657,-2.60504,-3.11244,-3.02752,5.593333333
4/1/2001,-22.64601,3.93701,0.61483,0.62139,-0.26668,0.46797,0.70116,-2.47068,-6.70934,-4.6117,4.326666667
7/1/2001,-19.18336,9.84848,0.68296,-0.40035,-0.30113,0.05059,0.28227,-2.41057,-5.11205,-3.52869,3.496666667
10/1/2001,-38.98951,13.7931,0.66048,0.27731,-0.60559,0.04096,-0.07506,-1.23774,-4.79825,-3.96726,2.133333333
1/1/2002,-18.75,3.63636,0.54974,0.82823,-0.32344,0.20135,0.31925,0.10444,-2.248,-3.74185,1.733333333
4/1/2002,0.96154,2.33918,0.51146,0.6155,-0.09278,0.74167,0.78622,1.66192,0.95036,-4.10768,1.75
7/1/2002,-0.57143,-1.71429,0.52641,0.40353,-0.0671,0.51812,0.53863,1.08663,-0.60191,-3.76474,1.74
