Date,unemployment,fed interest rate,growth rate,Average GBP/USD
20200301,0.044,0.0065,#N/A,1.237805
20200201,0.035,0.0158,#N/A,1.29677
20200101,0.036,0.0155,#N/A,1.30706
20191201,0.035,0.0155,0.0235,1.311692
20191101,0.035,0.0155,0.0235,1.288583
20191001,0.036,0.0183,0.0235,1.263037
20190901,0.035,0.0204,0.0235,1.235213
20190801,0.037,0.0213,0.0235,1.215307
20190701,0.037,0.024,0.0235,1.24736
20190601,0.037,0.0238,0.0235,1.267396
20190501,0.036,0.0239,0.0235,1.283196
20190401,0.036,0.0242,0.0235,1.304079
20190301,0.038,0.0241,0.0235,1.316985
20190201,0.038,0.024,0.0235,1.300885
20190101,0.04,0.024,0.0235,1.28872
20181201,0.039,0.0227,0.029273227,1.268124
20181101,0.037,0.022,0.029273227,1.290036
20181001,0.038,0.0219,0.029273227,1.301049
20180901,0.037,0.0195,0.029273227,1.305897
20180801,0.038,0.0191,0.029273227,1.287701
20180701,0.038,0.0191,0.029273227,1.317095
20180601,0.04,0.0182,0.029273227,1.32881
20180501,0.038,0.017,0.029273227,1.346472
20180401,0.04,0.0169,0.029273227,1.407705
20180301,0.04,0.0151,0.029273227,1.397377
20180201,0.041,0.0142,0.029273227,1.396902
20180101,0.041,0.0141,0.029273227,1.381263
20171201,0.041,0.013,0.022170103,1.340988
20171101,0.042,0.0116,0.022170103,1.32194
20171001,0.041,0.0115,0.022170103,1.319842
20170901,0.042,0.0115,0.022170103,1.332025
20170801,0.044,0.0116,0.022170103,1.29582
20170701,0.043,0.0115,0.022170103,1.298932
20170601,0.043,0.0104,0.022170103,1.280121
20170501,0.044,0.0091,0.022170103,1.292464
20170401,0.044,0.009,0.022170103,1.264222
20170301,0.044,0.0079,0.022170103,1.234398
20170201,0.046,0.0066,0.022170103,1.248073
20170101,0.047,0.0065,0.022170103,1.232889
20161201,0.047,0.0054,0.015672152,1.24862
20161101,0.047,0.0041,0.015672152,1.24284
20161001,0.049,0.004,0.015672152,1.233652
20160901,0.05,0.004,0.015672152,1.315714
20160801,0.049,0.004,0.015672152,1.311068
20160701,0.048,0.0039,0.015672152,1.316098
20160601,0.049,0.0038,0.015672152,1.421697
20160501,0.048,0.0037,0.015672152,1.454371
20160401,0.05,0.0037,0.015672152,1.431406
20160301,0.05,0.0036,0.015672152,1.422644
20160201,0.049,0.0038,0.015672152,1.43046
20160101,0.049,0.0034,0.015672152,1.4394
20151201,0.05,0.0024,0.028809105,1.498427
20151101,0.051,0.0012,0.028809105,1.519415
20151001,0.05,0.0012,0.028809105,1.533043
20150901,0.05,0.0014,0.028809105,1.534498
20150801,0.051,0.0014,0.028809105,1.559607
20150701,0.052,0.0013,0.028809105,1.55564
20150601,0.053,0.0013,0.028809105,1.555909
20150501,0.056,0.0012,0.028809105,1.545609
20150401,0.054,0.0012,0.028809105,1.494783
20150301,0.054,0.0011,0.028809105,1.497773
20150201,0.055,0.0011,0.028809105,1.532786
20150101,0.057,0.0011,0.028809105,1.515496
20141201,0.056,0.0012,0.02451973,1.56427
20141101,0.058,0.0009,0.02451973,1.57777
20141001,0.057,0.0009,0.02451973,1.606992
20140901,0.059,0.0009,0.02451973,1.630775
20140801,0.061,0.0009,0.02451973,1.670157
20140701,0.062,0.0009,0.02451973,1.707101
20140601,0.061,0.001,0.02451973,1.690477
